n,js_time,addon_time,wasm_time
1,0.15734,0.022272,0.001754
2,0.007883,0.005025,0.003256
3,0.002848,0.001987,0.000988
4,0.002775,0.001727,0.000925
5,0.003466,0.001713,0.001006
6,0.003516,0.001641,0.00093
7,0.004405,0.001641,0.001059
8,0.004734,0.001799,0.001125
9,0.0054,0.001688,0.001039
10,0.006809,0.001718,0.001279
11,0.007245,0.001828,0.001271
12,0.00857,0.001947,0.001412
13,0.00938,0.001988,0.001472
14,0.009974,0.001958,0.001343
15,0.010741,0.001953,0.00137
16,0.012492,0.001983,0.001515
17,0.013677,0.002058,0.001658
18,0.014272,0.002003,0.001643
19,0.015553,0.002139,0.001794
20,0.016593,0.002147,0.00191
21,0.017404,0.002194,0.001892
22,0.018894,0.002198,0.002149
23,0.0197,0.002291,0.002062
24,0.021231,0.002348,0.00225
25,0.023131,0.002545,0.00241
26,0.024181,0.002522,0.00248
27,0.024726,0.002643,0.002598
28,0.025765,0.002673,0.002587
29,0.026728,0.002677,0.002643
30,0.027654,0.002657,0.00267
31,0.037206,0.002956,0.003086
32,0.032237,0.003063,0.003036
33,0.033764,0.003128,0.003113
34,0.034564,0.003116,0.003229
35,0.037007,0.003402,0.003504
36,0.037746,0.003359,0.003611
37,0.039511,0.003413,0.003666
38,0.041028,0.003504,0.003732
39,0.041932,0.003679,0.003811
40,0.043629,0.003718,0.004158
41,1.500065,0.008489,0.006396
42,0.040089,0.006063,0.005174
43,0.048931,0.005458,0.005345
44,0.04412,0.00517,0.004983
45,0.049888,0.00451,0.004749
46,0.045811,0.004987,0.00512
47,0.060873,0.004885,0.005283
48,0.05255,0.005549,0.006037
49,1.815163,0.011314,0.008054
50,0.023329,0.008088,0.007092
51,0.028676,0.006585,0.006955
52,0.02304,0.005916,0.006104
53,0.022912,0.005489,0.005864
54,0.023784,0.00556,0.005927
55,0.02442,0.005681,0.006141
56,0.024895,0.005738,0.006358
57,0.025808,0.005809,0.006513
58,0.025366,0.005717,0.006626
59,0.025919,0.005865,0.006744
60,0.026493,0.005951,0.006835
61,0.026848,0.006142,0.006972
62,0.027605,0.006274,0.007192
63,0.030879,0.010912,0.009907
64,0.026698,0.008531,0.009026
65,0.029009,0.007604,0.008255
66,0.030129,0.007079,0.008049
67,0.03143,0.007166,0.008386
68,0.031905,0.007117,0.008469
69,0.038681,0.007389,0.008712
70,0.033299,0.00748,0.00882
71,0.033669,0.007454,0.008803
72,0.034182,0.007446,0.0089
73,0.034948,0.007678,0.009123
74,0.035476,0.007883,0.009368
75,0.036258,0.007993,0.009646
76,0.036625,0.00816,0.009757
77,0.037152,0.00818,0.009846
78,0.038164,0.008503,0.010251
79,0.038623,0.00854,0.010353
80,0.039402,0.008725,0.010484
81,0.04029,0.008921,0.010735
82,0.046097,0.00898,0.010938
83,0.055364,0.009299,0.011124
84,0.455212,0.013428,0.014109
85,0.049719,0.011532,0.01306
86,0.037284,0.009734,0.011484
87,0.044147,0.0108,0.012412
88,0.039902,0.010903,0.012619
89,0.045135,0.010434,0.012536
90,0.040188,0.010555,0.012612
91,0.045836,0.010173,0.012579
92,0.043062,0.010713,0.013146
